SLNo,InstitutionName,Address,Code, InstitutionType,ContactNumber,,
1,Aakash International Business Management College,Bangalore,C-52769,Degree/ Professional,"08023186027, 9740133330",,
2,Abaya School of Nursing,Bangalore,S-14124,Professional,080 2842 7290 / 080 64512255,,
3,Abbas Khan College for Women,Cubbanpet,C-21149,Degree/ Professional,"08022210802, 22125007",,
4,Abhaya College of Nursing,Bangalore,C-40234,Professional,080 2842 7290,,
5,Abhudaya Degree College,Sarjapur Road,C-20982,Degree/ Professional,080=28439001-2,,
6,Academy of Business Management Tourism & Research,Kudlugate,C-21019,Degree/ Professional,+91-80 50826480,,
7,Acharaya Polytechnic,Bangalore,S-1179,Professional,"8028393542, 9448948866",,
8,Acharya B M Reddy College of Pharmacy,Bangalore,C-40354,Professional,91-80- 22 555 5,,
9,Acharya College of Education,Bangalore,C-54384,Professional,"80-2372 2222, 973 179 7677",,
10,Acharya College of Imaging Technology,Bangalore,C-44864,Professional,91 80 2325 8369,,
11,Acharya College of MHA,Bangalore,C-40513,Medical,"080 23258369, 080 23258054",,
12,Acharya College of MLT,Bangalore,C-40225,Professional,"080 23258369, 080 23258054",,
13,Acharya College of Nursing,Bangalore,C-40113,Professional,9986013787,,
14,Acharya Institute of Graduate Studies,Soladevanahalli,C-20716,Degree,9886833013,,
15,Acharya Institute of Health Sciences,Bangalore,C-40350,Professional,"080 23258369, 080 23258054",,
16,Acharya Institute of Management and Science,Peenya Industrial Estate,C-20727,Degree/ Professional,80 2839 1531 / 32 / 33,,
17,Acharya Institute of Physiotherapy,Bangalore,C-40369,Professional,"080 23258369, 080 23258054",,
18,Acharya Institute of Technology,Bangalore,C-1319,Technical,91-80-2372 2222,,
19,Acharya ITI (Bommasandra),Bommasandra,PU29000207,Professional,"080 27832546, 9916932546",,
20,Acharya ITI (Peenya),Peenya,PU29000111,Professional,"080 28396165, 9886496165",,
21,Acharya Patashala College of Arts and Science,N.R. colony,C-20853,Degree/ Professional,080-26603192,,
22,Acharya Patashala College of Commerce,N.R. Colony,C-21182,Degree/ Professional,080 2661 1786,,
